Nazvanie_knigi;Nazvanie_na_jazyke_originala;Opisanie;ISBN;Avtor;Izdatelstvo;God_vypuska;Kolichestvo_stranic;Perepljot;Serija;Tirazh;Format;Ves;Oblozhka;Kategorija;Podkategoriya_1;Podkategoriya_2;Podkategoriya_3;Podkategoriya_4;Podkategoriya_5;Podkategoriya_6;Podkategoriya_7
100 великих монархов;;"Автор этой книги справедливо полагает, что ""интерес к судьбам сильных мира сего, и, прежде всего, к жизни монархов, всегда был, есть и будет"". Вот только выбрать из них сто великих весьма непросто. В этой книге вы прочитаете не только о тех правителях, чье величие признано всем миром, не только о святых и победоносных владыках, но и о жестоких тиранах и даже о монархах, снискавших славу авантюристов и, тем не менее, оставивших в истории неизгладимый след. Отчасти в этом и заключается интрига повествования, герои которого предстают живыми людьми со всеми их пристрастиями и привычками.";978-5-4444-0634-2;Рыжов К.В.;ВЕЧЕ;2013;480;твердый;100 великих;4000;60x90/16;0, 45;100-velikih-monarhov_10187928.jpg;Книги;Художественная литература. Публицистика. Мемуары;Биографии. Мемуары. Публицистика;Биографии. Мемуары;Сборники биографий;;;
100 великих мастеров балета;;Известно, что балет родился в Италии в XVI веке.   Вначале это были танцевальные сценки и эпизоды в музыкальных и оперных представлениях. Во Франции, привезенный из Италии, новый жанр становится частью придворной театральной культуры и превращается в пышные торжественные зрелища, основу которых составляют народные и придворные танцы, входившие в старинную сюиту. Второе свое рождение балет пережил во второй половине XVIII века благодаря реформам французского балетмейстера Жана Новера, который создал новый вид балетных спектаклей. Новая книга серии рассказывает о ста наиболее знаменитых и прославленных мастерах мирового балета.<br/><br/>;9,79E+12;Трускиновская Д.М.;ВЕЧЕ;2010;432;мягкий;;;84х108/32;0.509;100-velikih-masterov-baleta_5005943.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;Искусство и культура;Зрелищные искусства;;;
100 упражнений по системе Монтессори для подготовки вашего ребенка к чтению и письму;;;978-5-91982-426-8;Пляс М.Э.;Клевер;2014;224;твердый;Французские психологи рекомендуют;2000;60x84/16;0, 33;100-uprajneniy-po-sisteme-montessori-dlya-podgotovki-vashego-rebenka-k-chteniyu-i-pismu_11026973.jpg;Книги;Детская литература. Книги для детей и родителей;Книги для родителей;Воспитание, психология и педагогика для родителей;;;;
100 великих авантюристов;;Авантюристы... Они любят рисковать и умеют подчинять себе окружающих.   Появляются под чужими именами и часто отождествляют себя с тем, за кого выдают. Они выходят в море, чтобы испытывать судьбу. Строят финансовые пирамиды и плетут политические интриги. Подделывают произведения искусства и создают новые религии... Именно этим людям посвящена настоящая книга.;9,79E+12;Муромов И.А.;ВЕЧЕ;2010;416;твердый;100 великих;;60х90/16;;100-velikih-avantyuristov_4645901.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Справочная литература;Энциклопедии;;;;
100 великих любовниц;;"Героинями книги ""100 великих любовниц"" являются императрицы, принцессы, фаворитки, актрисы, певицы, поэтессы - женщины, чьи любовные истории овеяны легендами, а имена стали нарицательными.   Среди них Клеопатра, Мессалина, Помпадур, Нефертити, а также звезды современного экрана - Дж. Коллинз, Э. Тейлор и др. Перед вами открываются удивительные картины любовных историй - с древних времен до наших дней.<br/>Книга продолжает серию издательства ""Вече"" ""100 великих"".";9,79E+12;Муромов И.А.;ВЕЧЕ;2010;368;твердый;100 великих;;60x90/16;0.4;100-velikih-lyubovnits_4454283.jpg;Книги;Художественная литература. Публицистика. Мемуары;Биографии. Мемуары. Публицистика;Биографии. Мемуары;Сборники биографий;;;
100 великих монастырей;;Мы привыкли считать, что монастыри и монастырская культура связаны прежде всего с христианской религией. Это, безусловно, так. Книга, которую вы держите в руках, рассказывает о христианских монастырях, ставших поистине национальными (а нередко и общемировыми) святынями как на католическом Западе, так и на православном Востоке, а также в странах, где существуют так называемые древние христианские церкви. Но книга повествует и о монастырях буддийских, ведь в традиции этой мировой религии также издревле распространены обычаи создавать центры отшельнического совместного жития, молитвенной практики и хозяйствования, которые по праву именуют монастырями.;978-5-4444-1575-7;Ионина Н.;ВЕЧЕ;2014;480;твердый;100 великих;3000;60x90/16;0, 528;100-velikih-monastyirey_10646452.jpg;Книги;Профессиональная, специальная  и учебная литература;Религия. Эзотерика;Религиозная литература;Православие;Путеводители, альбомы;;
100 увлекательных игр для отличной учебы;;;978-5-4315-0048-0;Ульева Е.А.;Мозаика-Синтез;2012;112;мягкий;;7000;76х100/32;;100-uvlekatelnyih-igr-dlya-otlichnoy-uchebyi_5622511.jpg;Книги;Детская литература. Книги для детей и родителей;Обучающая и развивающая литература для детей;Общее развитие. Пособия, справочники;;;;
100 великих криминальных историй;;Очередная книга серии посвящена самым громким криминальным историям прошлого. Читатель узнает о том, как судил иудейский царь Соломон, как Архимед разгадал обман ювелира, кто такие ассасины и почему их называют наемными убийцами. Автор рассказывает о тайнах Синей Бороды, о трагедии Марии Гамильтон, об ожерелье королевы Франции, неразгаданных преступлениях, совершенных в Лондоне человеком-призраком Джеком Потрошителем, о похищениях произведений искусства, известных сыщиках, политических преступниках и многом другом.;978-5-4444-1387-6;Кубеев М.Н.;ВЕЧЕ;2013;416;мягкий;100 великих;3000;60x90/16;0, 39;100-velikih-kriminalnyih-istoriy_10639864.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;История;Всемирная история. История цивилизаций;;;
100 великих любовников;;;9,79E+12;Муромов И.А.;ВЕЧЕ;2010;432;твердый;100 великих;;60x90/16;0.4;100-velikih-lyubovnikov_4226933.jpg;Книги;Художественная литература. Публицистика. Мемуары;Биографии. Мемуары. Публицистика;Биографии. Мемуары;Сборники биографий;;;
100 великих литературных героев;;"Славный Гильгамеш и волшебница Медея, благородный Айвенго и двуликий Дориан Грей, легкомысленная Манон Леско и честолюбивый Жюльен Сорель, герой-защитник Тарас Бульба и ""неопределенный"" Чичиков, мудрый Сантьяго и славный солдат Василий Теркин… Литературные герои являются в наш мир, чтобы навечно поселиться в нем, творить и активно влиять на наши умы. Автор книги В.Н. Ерёмин рассуждает об основных идеях, которые принес в наш мир тот или иной литературный герой, как развивался его образ в общественном сознании и что он представляет собой в наши дни. Автор имеет свой, оригинальный взгляд на обсуждаемую тему, часто противоположный мнению, принятому в традиционном литературоведении.";978-5-4444-1574-0;Еремин В.Н.;ВЕЧЕ;2014;432;твердый;100 великих;3000;60x90/16;0, 39;100-velikih-literaturnyih-geroev_10605900.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;Литературоведение;История литературы;;;
100 великих музеев мира;;Когда мы ходим по залам музеев, восхищаясь бессмертными творениями великих мастеров искусства, с любопытством рассматривая драгоценные предметы прошлых эпох, мы редко думаем о тех людях, которые собрали и сохранили представленные сокровища.   Имена многих из них давно забыты, но дело их продолжает жить.<br/>Книга рассказывает об истории зарождения музейного дела, о том, как небольшие частные коллекции превращались в великие музейные собрания, ставшие настоящим мировым достоянием. Читатель совершит увлекательное путешествие в Афинский акрополь и Помпеи, Ватикан и Лувр, Дворец дожей и Эскориал, Лондонскую национальную галерею, Музей мадам Тюссо, Эрмитаж и Алмазный фонд России, Третьяковскую галерею, Русский музей...;978-5-9533-5543-8;;ВЕЧЕ;2011;480;твердый;100 великих;5000;60x90/16;;100-velikih-muzeev-mira_5035740.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;Искусство и культура;Художественные музеи. Коллекции, собрания;;;
100 великих скульпторов;;Скульптура - одно из наиболее древних по происхождению искусств.   Пытаясь воссоздать в глине или камне окружающий мир любой скульптор стремиться не просто воплотить страсть к творчеству, но и наделить холодную форму огнем живого жизненного начала, одухотворить материю, стать причастным к сотворению мира. В этом притягательная мощь искусства скульптуры. В книге представлены биографии и творческий путь лучших мастеров от Фидия и Праксителя до Микеланджело и Родена.;9,79E+12;Сергей Мусский;ВЕЧЕ;2007;480;твердый;100 великих;;60х90/16;0.7;100-velikih-skulptorov_5742360.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Справочная литература;Энциклопедии;;;;
100 великих писателей;;"Очередная книга серии ""100 великих"" посвящена писателям.   Этот ""золотой список"" составили как программные имена, так и те, кто только входит в наш культурный обиход, - мастера слова, чьи произведения в полном объеме опубликованы лишь в последние годы, а также писатели русской эмиграции и зарубежные литераторы, которых в подцензурные времена представляли в несколько искаженном виде. В книгу включены новые для российских читателей факты, ставшие известными благодаря пришедшей к нам литературе русского зарубежья, новым критическим и мемуарным публикациям.<br/><br/>";9,79E+12;Иванов Г.В.;ВЕЧЕ;2009;432;мягкий;;;60х90/16;0.61;100-velikih-pisateley_5005945.jpg;Книги;Художественная литература. Публицистика. Мемуары;Биографии. Мемуары. Публицистика;Биографии. Мемуары;Сборники биографий;;;
100 великих любовников;;Что такое любовь? Это род безумия, над которым разум не имеет власти, - утверждал Джакомо Казанова, великий итальянский любовник и авантюрист.   Амурные похождения европейских монархов обязательно приводили к изменению жизни их подданных, влияли на политические решения. Во все века альковные скандалы в именитых семействах становились темой для светских пересудов. Молва не щадила и поэтов, писателей, музыкантов, художников. А в наше время внимание обывателя приковано к увлечениям президентов и олигархов, звезд кино и эстрады.;9,79E+12;Муромов И.А.;ВЕЧЕ;2010;432;твердый;100 великих;;60x90/16;0.4;100-velikih-lyubovnikov_4226933.jpg;Книги;Художественная литература. Публицистика. Мемуары;Биографии. Мемуары. Публицистика;Биографии. Мемуары;Сборники биографий;;;
100 великих курьезов истории;;"Мировая история знает немало курьезов - поучительных и смешных, загадочных и трагических, связанных с известными событиями и личностями. Людям всегда было интересно то, что подчас сбивало мировую историю с ее размеренной поступи. Как древние греки чуть не изобрели паровоз? Как Русский Север едва не стал английской колонией? Как китайцы открыли мир? Как у Христофора Колумба оказалось две могилы одновременно в разных концах света? Как Отто Скорцени американцев обманул, а войну не выиграл? Об этих и других недоразумениях, роковых ошибках и нелепостях мирового масштаба вы узнаете в новой книге из серии ""100 великих"".";978-5-4444-0747-9;Веденеев В.В.;ВЕЧЕ;2013;432;твердый;100 великих;3000;60x90/16;0, 385;100-velikih-kurezov-istorii_9130215.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;История;Общие вопросы;;;
100 великих чудес инженерной мысли;;"За два последних столетия научно-технический прогресс совершил ошеломляющий рывок. На что ранее человечество затрачивало века, теперь уходят десятилетия или всего лишь годы. При таких темпах развития науки и техники сегодня удивить мир чем-то особенным очень трудно. Но в прежние времена появление нового творения инженерной мысли зачастую означало преодоление очередного рубежа, решение той или иной крайне актуальной задачи. Человечество ""брало очередную высоту"", и эта ""высота"" служила отправной точкой для новых свершений. Довольно много сооружений и изделий, даже утративших утилитарное значение, тем не менее остались в памяти людей как чудеса науки и техники. Новая книга из известной серии ""100 великих"" рассказывает о чудесах инженерной мысли разных стран и эпох: от изобретений и построек Древнего Востока и античности до небоскребов в сегодняшних странах Юго-Восточной и Восточной Азии.";978-5-9533-6188-0;Низовский А.Ю.;ВЕЧЕ;2011;480;твердый;100 великих;3000;60х90/16;;100-velikih-chudes-injenernoy-myisli_4918265.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Справочная литература;Энциклопедии;;;;
100 великих пророков и вероучителей;;"Новая книга из серии ""100 великих"" рассказывает о жизни и деятельности самых выдающихся пророков и вероучителей мира от ""великих посвященных"" древности до создателей надконфессионных течений ХХ века.";9,79E+12;Константин Рыжов;ВЕЧЕ;2008;480;твердый;100 великих;;60х90/16;;100-velikih-prorokov-i-verouchiteley_4556773.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Справочная литература;Энциклопедии;;;;
100 великих научных открытий;;"В пору становления науки ею занимались лишь преданные одиночки, а полученные ими результаты долгое время не считались обязательными для всех.   Но именно научный метод преобразовал наш мир, и именно на основе успехов этого метода наука дала человеку власть над природой. И как бы ни развивалось человечество, оно всегда будет пользоваться плодами великих научных открытий. Новая книга из известной серии ""100 великих"" представляет захватывающую галерею триумфов человеческого разума: от закона Архимеда, великих прозрений Пифагора, догматов Аристотеля и Галена до квантовой механики, концепции ""Большого взрыва"" и теории прибавочной стоимости.";9,79E+12;Самин Д.К;ВЕЧЕ;2008;480;твердый;100 великих;5000;60х90/16;0, 438;100-velikih-nauchnyih-otkryitiy_5730712.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;История;Вспомогательные исторические дисциплины;;;
100 уроков борьбы самбо;;"Поурочное пособие для занимающихся в коллективах физкультуры. Содержит материал, соответствующий задачам обучения в первом году занятий в секции борьбы самбо. Материал изложен в виде отдельных уроков. В каждом уроке приводится содержание занятий и даются указания к изучаемым приёмам. Пособие составлено под руководством заслуженного мастера спорта Чумакова Е.М.Воспроизведено в оригинальной авторской орфографии издания 1971 года (издательство ""Физкультура и спорт"").    ";978-5-458-28587-2;Чумаков Е.М.;ЁЁ Медиа;2012;314;мягкий;;;;0.45 кг;100-urokov-borbyi-sambo_10122522.jpg;Книги;Книга по требованию;Увлечения, спорт и досуг;Все книги раздела Увлечения, спорт и досуг;;;;
100 великих литературных героев;;"Славный Гильгамеш и волшебница Медея, благородный Айвенго и двуликий Дориан Грей, легкомысленная Манон Леско и честолюбивый Жюльен Сорель, герой-защитник Тарас Бульба и ""неопределенный"" Чичиков, мудрый Сантьяго и славный солдат Василий Теркин... Литературные герои являются в наш мир, чтобы навечно поселиться в нем, творить и активно влиять на наши умы. Автор книги В.Н. Ерёмин рассуждает об основных идеях, которые принес в наш мир тот или иной литературный герой, как развивался его образ в общественном сознании и что он представляет собой в наши дни. Автор имеет свой, оригинальный взгляд на обсуждаемую тему, часто противоположный мнению, принятому в традиционном литературоведении.";978-5-9533-6079-1;Еремин В.Н.;ВЕЧЕ;2011;480;твердый;100 великих;;60х90/16;;100-velikih-literaturnyih-geroev_4700269.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;Литературоведение;История литературы;;;
100 великих славян;;;978-5-4444-1221-3;Бобров А.А.;ВЕЧЕ;2014;416;твердый;100 великих;4000;60x90/16;0, 36;100-velikih-slavyan_11129329.jpg;Книги;Художественная литература. Публицистика. Мемуары;Биографии. Мемуары. Публицистика;Биографии. Мемуары;Биографии известных людей. Российские;;;
100 велики героев 1812 года;;"Отечественная война 1812 года относится к числу самых славных войн, которые вела Россия в своей многовековой истории. Память о ней священна, равно как и имена ее героев. Это Георгиевские кавалеры полководцы М.И. Голенищев-Кутузов, П.И. Багратион, М.Б. Барклай-де-Толли, А.П. Ермолов и Д.С. Дохтуров, казачий атаман М.И. Платов, генералы М.С. Воронцов, Н.Н. Раевский и М.А. Милорадович, полковой священник Василий Васильковский и ""кавалерист-девица"" Надежда Дурова, армейские партизаны Д.В. Давыдов и А.Н. Сеславин, братья Александр, Николай и Павел Тучковы, командиры полков из славного донского казачьего рода Иловайских...<br/>О ста из них рассказывает книга военного историка и писателя А. Шишова.";978-5-4444-0181-1;Шишов А.В.;ВЕЧЕ;2012;432;твердый;100 великих;5000;60х90/16;;100-veliki-geroev-1812-goda_4957622.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;История;История войн;История войн  XVIII - XIX вв.;;
100 тайн Второй мировой;;;978-5-9910-2741-0;Mr. Dick4;Клуб семейного досуга;2014;416;твердый;Великие и легендарные;41000;60x90/16;0, 41;100-tayn-vtoroy-mirovoy_10699087.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;История;История войн;Вторая мировая война;;
100 великих поэтов;;Книга рассказывает о биографиях и исторических событиях, на фоне которых проходила жизнь ста великих поэтов мира всех времен и народов. Читатель познакомится с судьбами Гомера и Вергилия, Ли Цин-чжао и Данте, Омара Хайяма и Камоэнса, Лафонтена и Басё, Державина и Шиллера, Пушкина и Мицкевича, Цветаевой и Лорки и многих других гениальных поэтов, чье творчество обогащает наш мир и делает прекраснее нашу жизнь. Биографии стихотворцев помогают узнать об основных поэтических школах, теориях и принципах существования поэзии в разные времена и у разных народов.;978-5-4444-1448-4;Еремин В.Н.;ВЕЧЕ;2013;480;твердый;100 великих;3000;60x90/16;0, 441;100-velikih-poetov_10508704.jpg;Книги;Художественная литература. Публицистика. Мемуары;Биографии. Мемуары. Публицистика;Биографии. Мемуары;Сборники биографий;;;
100 великих рекордов стихий;;"Если приглядеться к статистике природных аномалий хотя бы за последние два-три года, станет очевидно: наша планета пустилась во все тяжкие и, как пугают нас последователи Нострадамуса, того и гляди ""налетит на небесную ось"". Катаклизмы и необъяснимые явления следуют друг за другом, они стали случаться даже в тех районах Земли, где люди отроду не знали никаких природных напастей. Не исключено, что скоро Земля не сможет носить на себе почти 7-миллиардное население, и оно должно будет сократиться в несколько раз с помощью тех же природных катастроф! А может, лучше человечеству не доводить Землю до такого состояния? В этой книге рассказывается о рекордах бедствий и необъяснимых природных явлений, которые сотрясали нашу планету и поражали человечество на протяжении его истории.";978-5-9533-6083-8;Mr. Dick4;ВЕЧЕ;2011;416;твердый;100 великих;;60х90/16;;100-velikih-rekordov-stihiy_4700283.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Справочная литература;Справочники;;;;
100 великих пиратов;;"Фрэнсис Дрейк, Генри Морган, Жан Бар, Питер Хейн, Пьер Лемуан д'Ибервиль, Пол Джонс, Томас Кавендиш, Оливер ван Ноорт, Уильям Дампир, Вудс Роджерс, Эдвард Ингленд, Бартоломью Робертс, Эсташ, граф Камберленд, шевалье де Фонтенэ, Джордж Ансон… Очередная книга серии знакомит читателей с самыми известными пиратами, корсарами и флибустьерами, чьи похождения на просторах ""семи морей"" оставили заметный след в мировой истории.   Фрэнсис Дрейк, Генри Морган, Жан Бар, Питер Хейн, Пьер Лемуан д'Ибервиль, Пол Джонс, Томас Кавендиш, Оливер ван Ноорт, Уильям Дампир, Вудс Роджерс, Эдвард Ингленд, Бартоломью Робертс, Эсташ, граф Камберленд, шевалье де Фонтенэ, Джордж Ансон… Очередная книга серии знакомит читателей с самыми известными пиратами, корсарами и флибустьерами, чьи похождения на просторах ""семи морей"" оставили заметный след в мировой истории. В книге рассказывается не только об отпетых негодях и висельниках, но и о бесстрашных ""морских партизанах"", ставших прославленными флотоводцами и даже национальными героями Франции, Британии, США и Канады. Имена некоторых из них хорошо известны любителям приключенческой литературы.";978-5-9533-5774-6;Виктор Губарев;ВЕЧЕ;2011;432;твердый;100 великих;7000;60х90/16;0, 395;100-velikih-piratov_4957838.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;История;Люди и история;;;
100 великих тайн Вселенной;;Вселенная - великая загадка бытия, манящая тайна познания - бесконечного преодоления границ неведомого. За первым шагом открываются новые горизонты. А за ними - новые тайны вечного, неисчерпаемого космоса.<br/>Как родилась наша Вселенная? Что было до Большого взрыва? Из чего состоит вещество Вселенной? Что такое черные дыры? Как происходит круговорот вещества во Вселенной? Где находится галактический центр? Существуют ли параллельные миры? Как рождаются звезды? Что такое квазары, пульсары и белые карлики? Об этом и многом другом рассказывает очередная книга серии.;978-5-4444-0653-3;Бернацкий А.;ВЕЧЕ;2013;416;твердый;100 великих;3000;60x90/16;0, 375;100-velikih-tayn-vselennoy_9130235.jpg;Книги;Профессиональная, специальная  и учебная литература;Естественные науки. Математика;Астрономия;;;;
100 великих меценатов и филантропов;;Любовь к людям, доброжелательное отношение к человеку вообще, жертвование своим временем, деньгами, репутацией ради благотворительности. Помощь нуждающимся, человеколюбие. Широкая поддержка и покровительство наукам, искусству и образованию. Таковы основные черты филантропии и меценатства. Очередная книга серии рассказывает о самых знаменитых меценатах и филантропах - от древности и до наших дней. Среди них были - Птолемеи, Меценат, Акбар Великий, Рудольф II, Людовик XIV, Ф.П. Гааз, И.В. Цветаев, Бахрушины, П.М. Третьяков, Людвиг II Баварский, С.Т. Морозов, мать Мария, мать Тереза и многие другие.;978-5-9533-6424-9;Ломов В.М.;ВЕЧЕ;2013;416;твердый;100 великих;;60x90/16;0, 352;100-velikih-metsenatov-i-filantropov_8964247.jpg;Книги;Художественная литература. Публицистика. Мемуары;Биографии. Мемуары. Публицистика;Биографии. Мемуары;Сборники биографий;;;
100 великих полководцев Западной Европы;;История Западной Европы убедительно свидетельствует о том, что только те народы или государства, которые сумели выдвинуть из своей среды в годину тяжелых, поистине судьбоносных испытаний действительно великих военных вождей, военных гениев, смогли выжить, отстояли свою независимость, не потеряли своих земель.<br/>Военачальники не только определяли лицо континентальных войн, их деяния стали неотъемлемой частью исторической памяти европейской цивилизации, поскольку в свое время Древний Рим и Британская империя, наполеоновская Франция и Испанское королевство, кайзеровская и гитлеровская Германия во многом диктовали ход мировых событий.<br/>Очередная книга серии рассказывает о наиболее выдающихся западноевропейских полководцах.;978-5-9533-5810-1;Шишов А.В.;ВЕЧЕ;2012;432;твердый;;;60х90/16;;100-velikih-polkovodtsev-zapadnoy-evropyi_5800857.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;История;Люди и история;;;
100 великих рекордов животных;;Животный мир Земли многолик и многообразен. И это неудивительно, если учесть насколько различны условия жизни на нашей планете. Животные приспособились к глубинам океана и высокогорьям, к зонам вечных льдов, пустыням и влажным тропикам. На суше и в воде океанов не найти уголка, не населенного живыми организмами. Мохнатые, пернатые, с панцирем и без него, крылатые, двуногие, четвероногие, летающие, плавающие и ползающие существа... Очень разнообразны животные и по своим размерам. Среди них встречаются и настоящие гиганты, и совсем крошки, пигмеи. В очередной книге серии рассказывается о самых удивительных рекордах животного мира. Читатель узнает о самых высокорослых и самых маленьких животных, о рекордсменах в покорении высот и по прыжкам в длину и высоту, о самых холодоустойчивых и самых ядовитых организмах, а также о самых оригинальных способах размножения простейших, моллюсков, насекомых, рептилий, птиц и многом другом.;978-5-9533-6420-1;Бернацкий А.С.;ВЕЧЕ;2012;416;твердый;100 великих;;60x90/16;;100-velikih-rekordov-jivotnyih_5430351.jpg;Книги;Профессиональная, специальная  и учебная литература;Юридическая литература;Нормативные акты. Справочная литература;Справочная литература;;;
100 великих памятников;;"Ничто лучше не может характеризовать различные эпохи мировой истории, кроме памятников, которые созданы руками гениальных скульпторов и архитекторов. И не важно, знаем мы их имена или нет.   Книга ""100 великих памятников"" рассказывает о самых выдающихся творениях рук человеческих: от Сфинкса и Венеры Милосской до Триумфальной арки в Париже и памятника ""Тысячелетие России"".";9,79E+12;Самин Д.К.;ВЕЧЕ;2009;430;твердый;100 великих;;60х90/16;0.5;100-velikih-pamyatnikov_9161086.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;Искусство и культура;Архитектура;;;
100 великих географических открытий;;Эта книга о том, как люди открывали свою родную планету.   Великое географическое открытие порой длилось веками и в нем принимали участие десятки, а то и сотни исследователей. Среди них были не только знаменитые - Геродот, Марко Поло, Колумб, Кук, Пржевальский, Скотт, - но и ныне забытые и малоизвестные. О них тоже идет речь в книге. Из нее также узнаете и о некоторых теоретических открытиях, раскрывающих жизнь и строение Земли.;9,79E+12;Баландин Р.К., Маркин В.А.;ВЕЧЕ;2008;416;твердый;100 великих;;60x90/16;;100-velikih-geograficheskih-otkryitiy_4399660.jpg;Книги;Профессиональная, специальная  и учебная литература;Естественные науки. Математика;Науки о земле;География;;;
100 великих тайн сознания;;Человечество вновь и вновь возвращается к глубинам психических и психоэнергетических процессов, пытаясь разобраться в вопросе, как же все-таки устроен человек.   В чем состоит феномен сознания, как объяснить многочисленные паранормальные явления и сверхъестественные чудеса. Автор на примере самых загадочных феноменов сознания и психики человека раскрывает эту тему, рассматривая ее в контексте истории, культуры и мифологии, а главное, в сочетании с научными методами и подходами. Что такое третий глаз человека, восстанавливаются ли нейроны, ремонтируется ли мозг, отличается ли мужской мозг от женского, существует ли мозговой барьер? Об этом и многом другом рассказывает очередная книга серии.;978-5-9533-5006-8;Бернацкий А.С.;ВЕЧЕ;2011;384;твердый;100 великих;7000;60x90/16;0.359;100-velikih-tayn-soznaniya_5587195.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;Психология;Психотерапия;;;
